product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Укроп сушеный,9251,260,Бакалея,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,1992-03-02,2012-01-04,2.81,Delivered
2,Авокадо,7652,701,Фрукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2013-01-16,2026-02-01,1.66,New
3,Мороженое,214,195,Молочные продукты,Помогает поддерживать нормальный уровень артериального давления.,2013-04-05,2019-04-03,4.62,Temporarily Unavailable
4,Тыква,449,873,Овощи,Помогает поддерживать нормальный уровень триглицеридов в крови.,2004-02-11,2027-06-13,3.63,On Backorder
5,Каша из дробленного риса,1210,181,Бакалея,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1991-01-18,1998-01-10,3.9,Temporarily Unavailable
6,Кровяная колбаса,9503,917,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2002-03-06,2025-02-08,0.55,New
7,Зельц,8437,905,Мясо,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2013-08-14,2020-01-24,1.88,Delivered
8,Скалки,5001,601,Товары для дома,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2022-11-04,2027-05-06,4.84,New
9,Каша из риса дикого,9163,725,Бакалея,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1997-03-02,2002-02-15,4.61,On Backorder
10,Мацони,9403,120,Молочные продукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2017-04-15,2018-06-05,0.47,Pending
11,Вилки,4630,242,Товары для дома,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2012-01-06,2026-02-02,0.65,Backorder
12,Ополаскиватель для полости рта,9772,349,Товары для дома,Прошел сертификацию на соответствие требованиям органических стандартов.,2020-04-05,2029-01-17,2.71,Refunded
13,Растительное масло льняное,8270,554,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2000-11-06,2011-07-03,4.14,Returned
14,Инжир,2245,90,Фрукты,Отвечает всем современным стандартам качества и безопасности.,2006-01-03,2015-06-10,4.35,New
15,Петрушка корневая,7191,853,Овощи,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1992-04-09,2011-06-16,4.65,In Stock
16,Ливерная колбаса,1710,408,Мясо,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2019-07-01,2027-02-04,3.87,Awaiting Payment
17,Смузи шпинатно-банановый,5297,962,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2008-05-04,2019-03-01,1.37,Refunded
18,Робот-пылесос,2517,885,Товары для дома,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2010-01-04,2029-01-19,0.57,Shipping
19,Ласси,2557,934,Молочные продукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2020-01-07,2026-03-01,1.57,Awaiting Payment
20,Ласси,7272,900,Молочные продукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1998-01-20,2010-06-11,1.32,Cancelled
21,Айва,9628,958,Фрукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2004-02-06,2030-01-01,3.27,Returned
22,Айва,7130,275,Фрукты,"Обладает мягким вкусом, который нравится многим потребителям.",2004-09-06,2016-01-15,0.57,Backorder
23,Газированная вода,9953,410,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",1999-05-10,2001-01-08,1.65,Backorder
24,Гель для душа,4562,708,Товары для дома,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2012-01-06,2029-02-01,0.32,New
25,Тарелки глубокие,5883,93,Товары для дома,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",1996-06-18,2025-02-02,2.42,Delivered
26,Дыня,3670,728,Фрукты,Способствует улучшению работы пищеварительной системы.,2007-02-13,2007-03-03,3.02,Cancelled
27,Молочный шоколад,218,591,Бакалея,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2008-02-04,2026-05-03,4.47,Delivered
28,Пакеты для Рождества,4263,767,Товары для дома,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2012-02-05,2020-02-02,4.68,Returned
29,Баклажан,3626,193,Овощи,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2019-05-11,2027-06-11,2.76,Available for Pickup
30,Ряженка,8997,589,Молочные продукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1991-09-02,2013-06-14,3.95,Shipping
