name;rating;convenience;security;functionality;comment
Виадук 17;1.3;2;3;1;Это здание построено из стандартных строительных материалов.
Пандус 84;4.7;5;2;2;У этого здания отличная архитектура.
Верфь 83;2.1;5;1;3;Это здание очень функционально.
Псарня 68;0.3;3;1;1;Это здание построено из стандартных строительных материалов.
Дупло 86;4.1;3;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Волчатник 37;2.7;3;5;4;Это здание очень функционально.
Котельная 38;3.4;2;4;3;Это здание представляет собой типичный образец современной архитектуры.
Усадьба 76;2.9;4;5;2;Это здание имеет стандартную конструкцию.
Бункер 50;3.9;1;5;1;Мне нравится дизайн этого здания.
Дворец 6;3.2;5;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Цирк 90;4.3;1;1;5;Это здание очень функционально.
Муравейник 61;0.4;2;2;5;Это здание является примером функционального дизайна.
Библиотека 12;1.6;4;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Убежище 5;4.2;2;1;2;Это здание представляет собой типичный образец современной архитектуры.
Институт 92;0.5;2;2;4;Это здание является примером функционального дизайна.
Теплотрасса 2;1.4;3;1;3;Это здание не имеет особых архитектурных особенностей.
Пирс 41;1.4;2;3;2;У этого здания отличная архитектура.
Супермаркет 71;2.1;5;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Страусятник 41;0.6;2;2;3;Это здание не имеет особых архитектурных особенностей.
Стадион 6;0.4;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
Отель 58;1.2;5;5;5;Это здание не имеет особых архитектурных особенностей.
Отель 58;5.0;1;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Котельная 42;2.3;3;3;4;Мне нравится дизайн этого здания.
Газопровод 65;4.1;3;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Институт 33;4.0;2;2;2;У этого здания отличная архитектура.
Ресторан 74;1.6;5;3;2;Это здание является примером функционального дизайна.
Автомойка 77;1.9;4;4;3;Это здание является примером функционального дизайна.
Страусятник 41;4.7;3;2;1;Это здание является примером функционального дизайна.
Канализация 78;2.9;5;3;2;Мне нравится дизайн этого здания.
Верфь 83;3.6;1;5;3;Это здание построено из стандартных строительных материалов.
Пирс 41;1.5;3;2;1;Это здание является примером функционального дизайна.
Ресторан 68;2.6;3;5;4;Это здание имеет стандартную конструкцию.
Сеть 42;2.5;2;3;3;Это великолепное здание!
Котельная 42;3.5;5;4;4;Это здание не имеет особых архитектурных особенностей.
Жилой дом 21;4.4;5;1;5;Это здание построено из стандартных строительных материалов.
Переправа 60;1.2;5;1;5;Мне нравится дизайн этого здания.
Дворец 6;0.5;4;1;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Дупло 86;1.0;1;5;2;Это здание построено из стандартных строительных материалов.
Дупло 86;1.9;4;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Овчарня 14;4.5;5;4;4;Это здание представляет собой типичный образец современной архитектуры.
